"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"B+1,B-1";"MountingHole_2.2mm_M2_Pad";2;"Mounting_Hole_PAD";;;
2;"P1,P3,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18";"Pin_Header_Straight_1x03_Pitch2.54mm";16;"CONN_01X03";;;
3;"P2,P4";"Pin_Header_Straight_1x10_Pitch2.54mm";2;"CONN_01X10";;;
4;"SW1";"DIP_SW_219-6LPST";1;"SW_DIP_x06";;;
5;"U1";"SOT-223";1;"LM317_3PinPackage";;;
6;"U2";"TSOP-5_1.65x3.05mm_Pitch0.95mm";1;"NCP551";;;
7;"U3";"TSSOP-28_4.4x9.7mm_Pitch0.65mm";1;"PCA9685";;;
8;"U4,U5,U6,U7";"MSOP-8_3x3mm_Pitch0.65mm";4;"BA4510FVM-GTR";;;
9;"C1,C7,C9,C12,C14,C16,C18";"C_0603";7;"100n";;;
10;"C2,C8";"C_0603";2;"10n";;;
11;"C3,C5,C6,C10,C11,C13,C15,C17";"C_0603";8;"10u";;;
12;"C4";"C_0603";1;"1u";;;
13;"R1,R2,R5,R6,R7,R8,R9,R10,R14,R15,R19,R20,R24,R25";"R_0603";14;"1M";;;
14;"R3";"R_0603";1;"240";;;
15;"R4";"R_0603";1;"750";;;
16;"R11,R16,R21,R26";"R_0603";4;"10k";;;
17;"R12,R17,R22,R27";"R_0603";4;"2.4k";;;
18;"R13,R18,R23,R28";"R_0603";4;"5.1k";;;
